rule_key,module,bucket,distinctScenarioCount,totalFindingCount,expectedMatchCount,unexpectedMatchCount,noisyMatchCount,mustNotFindViolationCount,sameSurfaceExtraCount,sameFileDifferentSignalCount,reviewOnlyCount,explainabilityGapCount,regexOnlyCount,hybridCount,semanticCount,astCount,regexOnlyOnlyExercised,scenarios,title,severity,finding_kind,family,language
guardian.looker-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Looker Client ID,HIGH,SECRET,looker-client-id,
guardian.looker-client-secret,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Looker Client Secret,HIGH,SECRET,looker-client-secret,
guardian.mailchimp-api-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mailchimp API Key,HIGH,SECRET,mailchimp-api-key,
guardian.mailgun-private-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mailgun Private API Token,HIGH,SECRET,mailgun-private-api-token,
guardian.mailgun-pub-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mailgun Pub Key,HIGH,SECRET,mailgun-pub-key,
guardian.mailgun-signing-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mailgun Signing Key,HIGH,SECRET,mailgun-signing-key,
guardian.mapbox-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mapbox API Token,HIGH,SECRET,mapbox-api-token,
guardian.mattermost-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Mattermost Access Token,HIGH,SECRET,mattermost-access-token,
guardian.maxmind-license-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Maxmind License Key,HIGH,SECRET,maxmind-license-key,
guardian.messagebird-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Messagebird API Token,HIGH,SECRET,messagebird-api-token,
guardian.messagebird-client-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Messagebird Client ID,HIGH,SECRET,messagebird-client-id,
guardian.microsoft-teams-webhook,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Microsoft Teams Webhook,HIGH,SECRET,microsoft-teams-webhook,
guardian.netlify-access-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,Netlify Access Token,HIGH,SECRET,netlify-access-token,
guardian.new-relic-browser-api-token,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,New Relic Browser API Token,HIGH,SECRET,new-relic-browser-api-token,
guardian.new-relic-insert-key,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,New Relic Insert Key,HIGH,SECRET,new-relic-insert-key,
guardian.new-relic-user-api-id,guardian,never_exercised,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,,New Relic User API ID,HIGH,SECRET,new-relic-user-api-id,
